プロジェクトID,工程表ID,工程表の期間,工程表の最終更新日,最終更新ユーザーID,最終更新ユーザー名,工程表の最終更新バージョン
PRJ-0001,SCH-0001,2026/09/01-2026/11/30,2026-08-28T10:24:11+09:00,U-0001,監督 太郎,12
工程ID,工程線名,工程線の形状,工程線の矢印,実線・点線,工程線の太さ,工程線の色,工程線の背景色,工程線の斜行,項目ID（開始日ノード）,項目名（開始日ノード）,開始日の行番号,開始日,開始日ノード形状,開始日ノードの依存タスク（行程ID、依存関係）,開始日ノードの関係線名,項目ID（終了日ノード）,項目名（終了日ノード）,終了日の行番号,終了日,終了日ノード形状,終了日ノードの依存タスク（行程ID、依存関係）,終了日ノードの関係線名,項目ID（中間ノード）,中間ノード日付,延べ日数,日数,休日,調整日数,0.5日,工程削除,詳細工程1の名称,詳細工程1の協力会社,詳細工程1の人数,詳細工程1の台数,詳細工程1の開始日,詳細工程1の終了日,詳細工程1の延べ日数,詳細工程1の日数,詳細工程1の休日,詳細工程1の色,詳細工程1の背景色,詳細工程1の形状,詳細工程1の矢印,詳細工程1の備考,詳細工程1の表示,詳細工程2の名称,詳細工程2の協力会社,詳細工程2の人数,詳細工程2の台数,詳細工程2の開始日,詳細工程2の終了日,詳細工程2の延べ日数,詳細工程2の日数,詳細工程2の休日,詳細工程2の色,詳細工程2の背景色,詳細工程2の形状,詳細工程2の矢印,詳細工程2の備考,詳細工程2の表示,詳細工程3の名称,詳細工程3の協力会社,詳細工程3の人数,詳細工程3の台数,詳細工程3の開始日,詳細工程3の終了日,詳細工程3の延べ日数,詳細工程3の日数,詳細工程3の休日,詳細工程3の色,詳細工程3の背景色,詳細工程3の形状,詳細工程3の矢印,詳細工程3の備考,詳細工程3の表示,詳細工程4の名称,詳細工程4の協力会社,詳細工程4の人数,詳細工程4の台数,詳細工程4の開始日,詳細工程4の終了日,詳細工程4の延べ日数,詳細工程4の日数,詳細工程4の休日,詳細工程4の色,詳細工程4の背景色,詳細工程4の形状,詳細工程4の矢印,詳細工程4の備考,詳細工程4の表示,詳細工程5の名称,詳細工程5の協力会社,詳細工程5の人数,詳細工程5の台数,詳細工程5の開始日,詳細工程5の終了日,詳細工程5の延べ日数,詳細工程5の日数,詳細工程5の休日,詳細工程5の色,詳細工程5の背景色,詳細工程5の形状,詳細工程5の矢印,詳細工程5の備考,詳細工程5の表示,詳細工程6の名称,詳細工程6の協力会社,詳細工程6の人数,詳細工程6の台数,詳細工程6の開始日,詳細工程6の終了日,詳細工程6の延べ日数,詳細工程6の日数,詳細工程6の休日,詳細工程6の色,詳細工程6の背景色,詳細工程6の形状,詳細工程6の矢印,詳細工程6の備考,詳細工程6の表示,備考,作成日時,更新日時
P0011,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0011"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",gate,arrow,,,#9467bd,,,nD1,項目25,25,2026-09-08T00:00:00+09:00,,,,nD2,項目29,29,2026-09-15T23:59:59+09:00,,,,,,8,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0012,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0012"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",gate,arrow,,,#9467bd,,,nD2,項目29,29,2026-09-16T00:00:00+09:00,,,,nD3,項目26,26,2026-09-24T23:59:59+09:00,,,,,,9,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0013,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D4"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0013"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",gate,arrow,,,#9467bd,,,nD3,項目26,26,2026-09-25T00:00:00+09:00,,,,nD4,項目31,31,2026-10-05T23:59:59+09:00,,,,nD8,2026-09-30T00:00:00+09:00,11,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0014,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D5"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0014"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",gate,none,,,#9467bd,,,nD4,項目31,31,2026-10-06T00:00:00+09:00,,,,nD5,項目28,28,2026-10-15T23:59:59+09:00,,,,nD7,2026-10-10T00:00:00+09:00,10,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0015,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""E1"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0015"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",straight,arrow,,1,#ff7f0e,,,nE0,項目35,35,2026-09-04T00:00:00+09:00,,,,nE1,項目35,35,2026-09-14T23:59:59+09:00,,,,,,11,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0016,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""E2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0016"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",straight,arrow,,,#ff7f0e,,,nE1,項目35,35,2026-09-15T00:00:00+09:00,,,,nE2,項目33,33,2026-09-23T23:59:59+09:00,,,,,,9,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0017,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""E3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0017"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",straight,arrow,,,#ff7f0e,,,nE2,項目33,33,2026-09-24T00:00:00+09:00,,,,nE3,項目37,37,2026-10-06T23:59:59+09:00,,,,,,13,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0018,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""XS"",""namePositionWithinOptions"":""boxNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー1"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0018"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",boxS,arrow,,,#8c564b,#f2e3df,,nF1,項目40,40,2026-09-05T00:00:00+09:00,,,,nF1e,項目40,40,2026-09-18T23:59:59+09:00,,,,,,14,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0019,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""M"",""namePositionWithinOptions"":""boxNameMiddleCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0019"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",boxM,arrow,,2.5,#8c564b,#f2e3df,,nF2,項目41,41,2026-09-07T00:00:00+09:00,,,,nF2e,項目41,41,2026-09-24T23:59:59+09:00,,,,,,18,11,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0020,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""XL"",""namePositionWithinOptions"":""boxNameLowerLeft"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0020"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",boxL,arrow,,,#8c564b,#f2e3df,,nF3,項目42,42,2026-09-10T00:00:00+09:00,,,,nF3e,項目42,42,2026-10-01T23:59:59+09:00,,,,,,22,13,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0021,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー4"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0021"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",barAutoAdjust,arrow,,,#17becf,#17becf,,nF4,項目43,43,2026-09-06T00:00:00+09:00,none,,,nF4e,項目43,43,2026-09-20T23:59:59+09:00,none,,,,,15,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0022,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー5"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0022"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",barAutoAdjust,arrow,,,#17becf,#7fdbe7,,nF5,項目44,44,2026-09-21T00:00:00+09:00,none,,,nF5e,項目44,44,2026-10-09T23:59:59+09:00,none,,,,,19,12,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0023,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー6"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""L0023"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",barProcessNameAdjust,arrow,,,#e377c2,,,nF6,項目46,46,2026-09-12T00:00:00+09:00,none,,,nF6e,項目46,46,2026-10-03T23:59:59+09:00,none,,,,,22,12,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
